GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore,OmimIDs,PubMedIDs
RAPGEF6,51735,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.94,,21296072
RAPH1,65059,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.71,,21296072
RAPTOR,31543,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,5.19,,21296072
RARA,5914,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.34,,21296072
RARB,5915,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.37,,21296072
RARRES1,5918,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.66,,21296072
RASA1,5921,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.72,,21296072
RASGRP3,25780,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.75,,21296072
RASL11B,65997,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.75,,21296072
RASSF3,283349,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.92,,21296072
RASSF4,83937,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.67,,21296072
RASSF5,83593,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.78,,21296072
RASSF6,166824,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.97,,21296072
RB1CC1,9821,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.79,,21296072
RBBP4,5928,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.68,,21296072
RBBP7,5931,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.81,,21296072
RBCK1,10616,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.86,,21296072
RBFA,79863,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,4.16,,21296072
RBL1,5933,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.65,,21296072
RBL2,5934,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.57,,21296072
RBM12,10137,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.88,,21296072
RBM14,10432,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.72,,21296072
RBM15,64783,Pulmonary edema of mountaineers,MESH:C535833,,cobaltous chloride,3.85,,21296072
